Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): 3.46714050742773, денежный выигрыш: 22.06127291909788, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): -4.756921251040322, денежный выигрыш: 17.30435166805756, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 3.298589429404394, денежный выигрыш: 20.602941097461954, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): 2.794429308087748, денежный выигрыш: 23.3973704055497, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -1.605759863679572, денежный выигрыш: 21.791610541870128, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -1.6046811047848948, денежный выигрыш: 20.186929437085233, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): -1.6028117627137437, денежный выигрыш: 18.58411767437149, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 1.476666240856798, денежный выигрыш: 20.06078391522829, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): 5.974491536911214, денежный выигрыш: 26.0352754521395, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -7.199838479055987, денежный выигрыш: 18.835436973083514, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): -4.426816007506287, денежный выигрыш: 14.408620965577228, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 1.4223592731664347, денежный выигрыш: 15.830980238743663, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 1.4217388107721523, денежный выигрыш: 17.252719049515814, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): 1.4211843081228583, денежный выигрыш: 18.67390335763867, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -1.5118770242430766, денежный выигрыш: 17.162026333395595, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -4.645606765716445, денежный выигрыш: 12.51641956767915, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): -4.245512054543742, денежный выигрыш: 8.270907513135409, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): 5.219419358683802, денежный выигрыш: 13.49032687181921, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -0.6994012592344114, денежный выигрыш: 12.790925612584799, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -0.6977169386727384, денежный выигрыш: 12.09320867391206, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -0.6960300603757364, денежный выигрыш: 11.397178613536322, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): -1.9765003436818915, денежный выигрыш: 9.420678269854431, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): 3.6000713326046796, денежный выигрыш: 13.02074960245911, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): 0.43136973198001405, денежный выигрыш: 13.452119334439125, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): -1.2273274727256451, денежный выигрыш: 12.22479186171348, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 0.7885996711150408, денежный выигрыш: 13.013391532828521, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 0.7868696233392428, денежный выигрыш: 13.800261156167764, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): 0.7854458141330276, денежный выигрыш: 14.58570697030079, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -1.8195965133158867, денежный выигрыш: 12.766110456984904, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -0.8446788574469541, денежный выигрыш: 11.92143159953795, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): -0.41305829185157883, денежный выигрыш: 11.508373307686371, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): 3.9428086447020596, денежный выигрыш: 15.451181952388431, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): -0.3029417800434218, денежный выигрыш: 15.148240172345009, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): -0.3030409461923589, денежный выигрыш: 14.84519922615265, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): -0.30317928944719863, денежный выигрыш: 14.54201993670545, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -1.1358192934144822, денежный выигрыш: 13.406200643290969, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): -0.44104570876831845, денежный выигрыш: 12.965154934522651, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): 3.3658370313932835, денежный выигрыш: 16.330991965915935, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -3.573447251732193, денежный выигрыш: 12.75754471418374, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): -0.26830587908870007, денежный выигрыш: 12.48923883509504, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 101 (2007-09-10 00:00:00): -0.26721767588574785, денежный выигрыш: 12.222021159209293, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 102 (2007-09-11 00:00:00): -0.26613686859967783, денежный выигрыш: 11.955884290609616, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 103 (2007-09-12 00:00:00): 1.4016465104091755, денежный выигрыш: 13.357530801018791, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 104 (2007-09-13 00:00:00): -1.0259555205602762, денежный выигрыш: 12.331575280458516, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 105 (2007-09-14 00:00:00): 6.508465519116257, денежный выигрыш: 18.840040799574773, eta: 0.0005, большая delta: 0
