Выигрыш алгоритма Hedge на шаге 104 (2007-09-13 00:00:00): -8.598638719182135, денежный выигрыш: -53.90615604413712, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 105 (2007-09-14 00:00:00): 17.690134937824695, денежный выигрыш: -36.216021106312425, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 106 (2007-09-15 00:00:00): -2.6534542777558348, денежный выигрыш: -38.86947538406826, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 107 (2007-09-16 00:00:00): -3.2554189292054754, денежный выигрыш: -42.124894313273735, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 108 (2007-09-17 00:00:00): -3.2542221219111553, денежный выигрыш: -45.37911643518489, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 109 (2007-09-18 00:00:00): -3.2536936959086726, денежный выигрыш: -48.632810131093564, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 110 (2007-09-19 00:00:00): 14.622733879560323, денежный выигрыш: -34.01007625153324, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 111 (2007-09-20 00:00:00): 43.821734761760496, денежный выигрыш: 9.811658510227254, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 112 (2007-09-21 00:00:00): -3.669631482102675, денежный выигрыш: 6.142027028124579, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 113 (2007-09-22 00:00:00): 5.791358249845144, денежный выигрыш: 11.933385277969723, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 114 (2007-09-23 00:00:00): 1.453922442752021, денежный выигрыш: 13.387307720721743, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 115 (2007-09-24 00:00:00): 1.4535588484057012, денежный выигрыш: 14.840866569127444, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 116 (2007-09-25 00:00:00): 1.4536032305058189, денежный выигрыш: 16.294469799633262, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 117 (2007-09-26 00:00:00): -17.739935494818376, денежный выигрыш: -1.4454656951851135, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 118 (2007-09-27 00:00:00): 21.895403067763034, денежный выигрыш: 20.44993737257792, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 119 (2007-09-28 00:00:00): 14.340742241815986, денежный выигрыш: 34.79067961439391, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 120 (2007-09-29 00:00:00): 9.872536815881302, денежный выигрыш: 44.66321643027521, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 121 (2007-09-30 00:00:00): -8.633603505477176, денежный выигрыш: 36.02961292479804, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 122 (2007-10-01 00:00:00): -8.617519280603297, денежный выигрыш: 27.41209364419474, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 123 (2007-10-02 00:00:00): -8.613391029072806, денежный выигрыш: 18.798702615121933, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 124 (2007-10-03 00:00:00): 42.55578735205258, денежный выигрыш: 61.354489967174516, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 125 (2007-10-04 00:00:00): -9.776186988674961, денежный выигрыш: 51.57830297849955, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 126 (2007-10-05 00:00:00): 5.277181931854098, денежный выигрыш: 56.855484910353645, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 127 (2007-10-06 00:00:00): 36.59757225910685, денежный выигрыш: 93.4530571694605, eta: 0.001, большая delta: 0
