Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.4026414212442058, денежный выигрыш: 36.391993161891385, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.4017600206044376, денежный выигрыш: 33.99023314128695, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -7.556804262246311, денежный выигрыш: 26.43342887904064, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): 16.451782205997652, денежный выигрыш: 42.88521108503829, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): -5.413856660790355, денежный выигрыш: 37.471354424247934, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): 0.1887541146277445, денежный выигрыш: 37.660108538875676, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): 3.9793144319653178, денежный выигрыш: 41.639422970841, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 3.979842396075239, денежный выигрыш: 45.61926536691624, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 3.7582578914568083, денежный выигрыш: 49.377523258373046, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): -5.776092182428832, денежный выигрыш: 43.60143107594421, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -4.4533779328870935, денежный выигрыш: 39.14805314305712, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -1.6728213239325809, денежный выигрыш: 37.47523181912454, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): 22.608397358991038, денежный выигрыш: 60.08362917811557, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): -1.7514123088683278, денежный выигрыш: 58.33221686924725, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): -1.6665972345771607, денежный выигрыш: 56.66561963467009, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): -1.666471249748791, денежный выигрыш: 54.9991483849213, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): -4.7771419081046975, денежный выигрыш: 50.2220064768166, eta: 1e-05, большая delta: 0
