Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): -26.366430381442026, денежный выигрыш: 73.5116225374187, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -14.675642739492693, денежный выигрыш: 58.83597979792601, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): 2.182761855710176, денежный выигрыш: 61.018741653636184, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 2.1101032434859994, денежный выигрыш: 63.128844897122185, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 2.1096999545645887, денежный выигрыш: 65.23854485168677, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 9.035057575567533, денежный выигрыш: 74.2736024272543, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): -15.57135264065755, денежный выигрыш: 58.70224978659675, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): 10.01741506798518, денежный выигрыш: 68.71966485458194, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 4.400391475213206, денежный выигрыш: 73.12005632979515, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): -3.540213404048372, денежный выигрыш: 69.57984292574677, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -3.5332852004378816, денежный выигрыш: 66.04655772530889, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -3.5263933066091733, денежный выигрыш: 62.520164418699714, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): 5.778907066623278, денежный выигрыш: 68.299071485323, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 15.501254387471532, денежный выигрыш: 83.80032587279453, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): -22.938483486797224, денежный выигрыш: 60.861842385997306, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -11.57955689943968, денежный выигрыш: 49.282285486557626, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): 6.304175280880565, денежный выигрыш: 55.58646076743819, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 6.318192242769961, денежный выигрыш: 61.90465301020815, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 6.332172641061952, денежный выигрыш: 68.2368256512701, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): -4.293216536208063, денежный выигрыш: 63.94360911506203, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -19.23968463325259, денежный выигрыш: 44.70392448180944, eta: 0.0005, большая delta: 0
